Price,Zip,My university,Distance to the university,Address,Bathrooms,Bedrooms,LivingArea,Rent_estimate,DetailURL
2500,78747,UT Austin,9.01 miles,"8004 Running Water Dr, Austin, TX 78747",2,4,2780,2500,zillow.com/homedetails/8004-Running-Water-Dr-Austin-TX-78747/70334771_zpid/
3100,78751,UT Austin,1.92 miles,"5212A Guadalupe St W, Austin, TX 78751",2,4,1550,,zillow.com/homedetails/5212A-Guadalupe-St-W-Austin-TX-78751/2055278363_zpid/
3100,78756,UT Austin,2.53 miles,"5413 Roosevelt Ave #A, Austin, TX 78756",2,4,1571,3200,zillow.com/homedetails/5413-Roosevelt-Ave-A-Austin-TX-78756/2112664798_zpid/
4295,78705,UT Austin,0.85 miles,"305 W 38th St, Austin, TX 78705",2,4,1894,3948,zillow.com/homedetails/305-W-38th-St-Austin-TX-78705/29399023_zpid/
4700,78705,UT Austin,0.77 miles,"1006 W 22nd St #1, Austin, TX 78705",2,4,1400,3005,zillow.com/homedetails/1006-W-22nd-St-1-Austin-TX-78705/2082512574_zpid/
4400,78705,UT Austin,0.76 miles,"311 E 38th St, Austin, TX 78705",2,4,1662,3549,zillow.com/homedetails/311-E-38th-St-Austin-TX-78705/29398197_zpid/
2600,78741,UT Austin,5.19 miles,"1404 Poppy Seed Ln, Austin, TX 78741",2,4,1448,2291,zillow.com/homedetails/1404-Poppy-Seed-Ln-Austin-TX-78741/70345772_zpid/
2200,78753,UT Austin,9.16 miles,"12724 Serafy Ct, Austin, TX 78753",2,4,2101,2234,zillow.com/homedetails/12724-Serafy-Ct-Austin-TX-78753/29438013_zpid/
3495,78705,UT Austin,0.7 miles,"3410 Speedway #A, Austin, TX 78705",2,4,1650,3716,zillow.com/homedetails/3410-Speedway-A-Austin-TX-78705/2102359215_zpid/
3700,78704,UT Austin,3.96 miles,"300 El Paso St, Austin, TX 78704",2,4,1570,3723,zillow.com/homedetails/300-El-Paso-St-Austin-TX-78704/63838277_zpid/
3400,78756,UT Austin,2.52 miles,"5414 Grover Ave #A, Austin, TX 78756",2,4,1571,2668,zillow.com/homedetails/5414-Grover-Ave-A-Austin-TX-78756/2112667024_zpid/
3195,78749,UT Austin,9.47 miles,"6003 Brown Rock Trl, Austin, TX 78749",2,4,2551,3300,zillow.com/homedetails/6003-Brown-Rock-Trl-Austin-TX-78749/29486856_zpid/
3200,78737,UT Austin,17.69 miles,"13065 Fieldstone Loop, Austin, TX 78737",2,4,1780,3255,zillow.com/homedetails/13065-Fieldstone-Loop-Austin-TX-78737/202147499_zpid/
4000,78723,UT Austin,3.65 miles,"4816 Carsonhill Dr, Austin, TX 78723",2,4,1647,2600,zillow.com/homedetails/4816-Carsonhill-Dr-Austin-TX-78723/29396666_zpid/
2400,78745,UT Austin,7.25 miles,"1007 Stoneoak Ln, Austin, TX 78745",2,4,1167,2234,zillow.com/homedetails/1007-Stoneoak-Ln-Austin-TX-78745/29497315_zpid/
4500,78705,UT Austin,0.61 miles,"203 E 34th St, Austin, TX 78705",2,4,1600,3543,zillow.com/homedetails/203-E-34th-St-Austin-TX-78705/29399241_zpid/
3500,78705,UT Austin,0.59 miles,"713 Harris Ave, Austin, TX 78705",2,4,1300,2999,zillow.com/homedetails/713-Harris-Ave-Austin-TX-78705/29397493_zpid/
2490,78727,UT Austin,9.74 miles,"13205 Rampart St, Austin, TX 78727",2,4,1800,2475,zillow.com/homedetails/13205-Rampart-St-Austin-TX-78727/29443305_zpid/
3050,78759,UT Austin,8.39 miles,"4700 Wind River Rd, Austin, TX 78759",2,4,1621,2995,zillow.com/homedetails/4700-Wind-River-Rd-Austin-TX-78759/29438281_zpid/
4400,78705,UT Austin,0.81 miles,"1101 W 22nd 1/2 St, Austin, TX 78705",2,4,1774,5643,zillow.com/homedetails/1101-W-22nd-1-2-St-Austin-TX-78705/29331812_zpid/
4700,78705,UT Austin,0.77 miles,"1006 W 22nd St, Austin, TX 78705",2,4,2200,5890,zillow.com/homedetails/1006-W-22nd-St-Austin-TX-78705/29331825_zpid/
2950,78736,UT Austin,16.16 miles,"11010 Little Thicket Rd, Austin, TX 78736",2,4,1570,2850,zillow.com/homedetails/11010-Little-Thicket-Rd-Austin-TX-78736/29478256_zpid/
5500,78704,UT Austin,3.53 miles,"2211 Rebel Rd, Austin, TX 78704",2,4,2625,6447,zillow.com/homedetails/2211-Rebel-Rd-Austin-TX-78704/29460313_zpid/
3900,78751,UT Austin,0.81 miles,"3800 Avenue F, Austin, TX 78751",2,4,1995,6157,zillow.com/homedetails/3800-Avenue-F-Austin-TX-78751/29400547_zpid/
4100,78705,UT Austin,0.95 miles,"810 W 32nd St APT A, Austin, TX 78705",2,4,2945,4320,zillow.com/homedetails/810-W-32nd-St-APT-A-Austin-TX-78705/2105606108_zpid/
3450,78751,UT Austin,1.53 miles,"4521 Avenue F #B, Austin, TX 78751",2,4,1350,2550,zillow.com/homedetails/4521-Avenue-F-B-Austin-TX-78751/2131623988_zpid/
3200,78739,UT Austin,12.49 miles,"5201 Globe Mallow Dr, Austin, TX 78739",2,4,2066,2997,zillow.com/homedetails/5201-Globe-Mallow-Dr-Austin-TX-78739/251031717_zpid/
2395,78727,UT Austin,9.73 miles,"2407 N Shields Dr, Austin, TX 78727",2,4,1671,2450,zillow.com/homedetails/2407-N-Shields-Dr-Austin-TX-78727/29444988_zpid/
2800,78752,UT Austin,3.93 miles,"7500 Paxton St, Austin, TX 78752",2,4,1874,3214,zillow.com/homedetails/7500-Paxton-St-Austin-TX-78752/29418413_zpid/
2450,78737,UT Austin,,"(undisclosed Address), Austin, TX 78737",2,4,1800,2850,zillow.com/homedetails/Austin-TX-78737/29481855_zpid/
2250,78724,UT Austin,9.24 miles,"5817 Roderick Dr, Austin, TX 78724",2,4,2040,2199,zillow.com/homedetails/5817-Roderick-Dr-Austin-TX-78724/251032512_zpid/
2995,78702,UT Austin,1.99 miles,"1311 E 3rd St, Austin, TX 78702",2,4,1235,2949,zillow.com/homedetails/1311-E-3rd-St-Austin-TX-78702/29384318_zpid/
2199,78759,UT Austin,9.86 miles,"11805 Charing Cross Rd, Austin, TX 78759",2,4,1637,2600,zillow.com/homedetails/11805-Charing-Cross-Rd-Austin-TX-78759/29371833_zpid/
2650,78745,UT Austin,5.9 miles,"5002 Tahoe Trl, Austin, TX 78745",2,4,1468,2800,zillow.com/homedetails/5002-Tahoe-Trl-Austin-TX-78745/58313292_zpid/
2500,78744,UT Austin,6.36 miles,"4614 Peach Grove Rd, Austin, TX 78744",2,4,1752,2695,zillow.com/homedetails/4614-Peach-Grove-Rd-Austin-TX-78744/70327425_zpid/
2495,78753,UT Austin,7.65 miles,"11800 Oak Haven Rd, Austin, TX 78753",2,4,1982,2628,zillow.com/homedetails/11800-Oak-Haven-Rd-Austin-TX-78753/58303385_zpid/
2995,78723,UT Austin,4.38 miles,"3500 Loyola Ln, Austin, TX 78723",2,4,2336,3136,zillow.com/homedetails/3500-Loyola-Ln-Austin-TX-78723/29404484_zpid/
2200,78725,UT Austin,9.86 miles,"3506 Batson Dr, Austin, TX 78725",2,4,1683,2195,zillow.com/homedetails/3506-Batson-Dr-Austin-TX-78725/331624125_zpid/
3995,78705,UT Austin,0.34 miles,"2719 Whitis Ave, Austin, TX 78705",2,4,1740,2555,zillow.com/homedetails/2719-Whitis-Ave-Austin-TX-78705/2058214328_zpid/
3750,78748,UT Austin,10.23 miles,"10605 Lord Derby Dr, Austin, TX 78748",2,4,2399,2650,zillow.com/homedetails/10605-Lord-Derby-Dr-Austin-TX-78748/64656358_zpid/
2250,78725,UT Austin,10.0 miles,"15225 Harkness Pass, Austin, TX 78725",2,4,2029,2265,zillow.com/homedetails/15225-Harkness-Pass-Austin-TX-78725/331621797_zpid/
2950,78749,UT Austin,9.91 miles,"6516 Clairmont Dr, Austin, TX 78749",2,4,1904,2850,zillow.com/homedetails/6516-Clairmont-Dr-Austin-TX-78749/29487177_zpid/
2850,78732,UT Austin,11.34 miles,"13020 Appaloosa Chase Dr, Austin, TX 78732",2,4,2087,2807,zillow.com/homedetails/13020-Appaloosa-Chase-Dr-Austin-TX-78732/70337529_zpid/
2995,78756,UT Austin,2.43 miles,"5212 Joe Sayers Ave, Austin, TX 78756",2,4,2158,3266,zillow.com/homedetails/5212-Joe-Sayers-Ave-Austin-TX-78756/29410600_zpid/
2095,78725,UT Austin,10.06 miles,"4608 Cleto St, Austin, TX 78725",2,4,1887,2199,zillow.com/homedetails/4608-Cleto-St-Austin-TX-78725/145654943_zpid/
3600,78705,UT Austin,0.83 miles,"3105 Kings Ln, Austin, TX 78705",2,4,1317,3134,zillow.com/homedetails/3105-Kings-Ln-Austin-TX-78705/29397905_zpid/
2725,78749,UT Austin,10.37 miles,"9113 Edwardson Ln, Austin, TX 78749",2,4,2015,2981,zillow.com/homedetails/9113-Edwardson-Ln-Austin-TX-78749/29491892_zpid/
5600,78705,UT Austin,0.91 miles,"1902 David St, Austin, TX 78705",2,4,1700,4500,zillow.com/homedetails/1902-David-St-Austin-TX-78705/29331863_zpid/
2500,78744,UT Austin,8.87 miles,"7013 Lickeen Ct, Austin, TX 78744",2,4,1678,2600,zillow.com/homedetails/7013-Lickeen-Ct-Austin-TX-78744/241938278_zpid/
2495,78750,UT Austin,12.79 miles,"11514 Quarter Horse Trl, Austin, TX 78750",2,4,2081,2400,zillow.com/homedetails/11514-Quarter-Horse-Trl-Austin-TX-78750/29567176_zpid/
2032,78728,UT Austin,12.58 miles,"15701 Fm 1325 Rd, Austin, TX 78728",2,4,,2522,zillow.com/homedetails/15701-Fm-1325-Rd-Austin-TX-78728/2055885601_zpid/
2200,78758,UT Austin,6.53 miles,"1503 Quail Crest Dr, Austin, TX 78758",2,4,1464,2435,zillow.com/homedetails/1503-Quail-Crest-Dr-Austin-TX-78758/29432362_zpid/
2150,78759,UT Austin,5.53 miles,"8139 Ceberry Dr #A, Austin, TX 78759",2,4,1775,2264,zillow.com/homedetails/8139-Ceberry-Dr-A-Austin-TX-78759/2088567853_zpid/
4300,78727,UT Austin,9.16 miles,"4206 Dauphine Dr, Austin, TX 78727",2,4,2121,2885,zillow.com/homedetails/4206-Dauphine-Dr-Austin-TX-78727/29442652_zpid/
2550,78754,UT Austin,8.81 miles,"6812 Tulloch Way, Austin, TX 78754",2,4,2425,2500,zillow.com/homedetails/6812-Tulloch-Way-Austin-TX-78754/70338732_zpid/
2500,78748,UT Austin,9.52 miles,"9808 Woodshire Dr, Austin, TX 78748",2,4,1766,2487,zillow.com/homedetails/9808-Woodshire-Dr-Austin-TX-78748/29509886_zpid/
2475,78727,UT Austin,9.53 miles,"13013 Withers Way, Austin, TX 78727",2,4,1866,2414,zillow.com/homedetails/13013-Withers-Way-Austin-TX-78727/29443509_zpid/
3200,78722,UT Austin,1.15 miles,"3 Kern Ramble St, Austin, TX 78722",2,4,2038,3393,zillow.com/homedetails/3-Kern-Ramble-St-Austin-TX-78722/29394633_zpid/
2900,78757,UT Austin,3.74 miles,"6712 Modesto St, Austin, TX 78757",2,4,1298,2614,zillow.com/homedetails/6712-Modesto-St-Austin-TX-78757/29416912_zpid/
2900,78751,UT Austin,1.98 miles,"5010 Eilers Ave, Austin, TX 78751",2,4,1500,3249,zillow.com/homedetails/5010-Eilers-Ave-Austin-TX-78751/29405237_zpid/
4500,78734,UT Austin,13.19 miles,"3935 Lago Vista Dr, Austin, TX 78734",2,4,2430,3499,zillow.com/homedetails/3935-Lago-Vista-Dr-Austin-TX-78734/29363606_zpid/
1950,78745,UT Austin,6.52 miles,"6004 Idlewood Cv, Austin, TX 78745",2,4,1114,2227,zillow.com/homedetails/6004-Idlewood-Cv-Austin-TX-78745/29492677_zpid/
4695,78705,UT Austin,0.7 miles,"302-2606 Salado St #302, Austin, TX 78705",2,4,1460,2311,zillow.com/homedetails/302-2606-Salado-St-302-Austin-TX-78705/2062277534_zpid/
4250,78758,UT Austin,5.5 miles,"9002 Lodge Ct, Austin, TX 78758",2,4,1494,2450,zillow.com/homedetails/9002-Lodge-Ct-Austin-TX-78758/29427462_zpid/
4795,78705,UT Austin,0.57 miles,"2606 Salado St APT 301, Austin, TX 78705",2,4,1460,2303,zillow.com/homedetails/2606-Salado-St-APT-301-Austin-TX-78705/2109480727_zpid/
2395,78745,UT Austin,7.78 miles,"2601 Redleaf Ln, Austin, TX 78745",2,4,1737,2929,zillow.com/homedetails/2601-Redleaf-Ln-Austin-TX-78745/29493731_zpid/
