Price,Zip,My university,Distance to the university (in miles),Address,Bathrooms,Bedrooms,LivingArea,Latitude,Longitude,DetailURL
1641,78717,UT Austin,13.21,"13460 Lyndhurst St, Austin, TX",1,1,,30.47534,-97.78615,zillow.com/apartments/austin-tx/the-asher/CFXVxp/
1309,78727,UT Austin,10.19,"5400 W Parmer Ln, Austin, TX",1,1,,30.436523,-97.73352,zillow.com/apartments/austin-tx/stone-oak-at-parmer/5Xht5w/
1553,78752,UT Austin,3.05,"212 W Highland Mall Blvd, Austin, TX",1,1,,30.328861,-97.71454,zillow.com/apartments/austin-tx/medina-highlands/C3TMyb/
1495,78704,UT Austin,2.36,"500 S Congress Ave, Austin, TX",1,1,,30.256325,-97.747696,zillow.com/apartments/austin-tx/south-congress-square/5Xhsyh/
1367,78741,UT Austin,4.48,"5700 E Riverside Dr, Austin, TX",1,1,,30.228456,-97.709755,zillow.com/apartments/austin-tx/the-zoey/9T5f24/
1535,78738,UT Austin,16.68,"5511 Caprock Summit Dr, Austin, TX",1,1,,30.32188,-98.01358,zillow.com/b/the-artesian-at-bee-cave-bee-cave-tx-CCr5fd/
1575,78739,UT Austin,12.39,"12100 Archeleta Blvd, Austin, TX",1,1,,30.17094,-97.89267,zillow.com/apartments/austin-tx/arborview-circle-c-ranch-62%2b/Bs69Tb/
995,78741,UT Austin,4.26,"2207 Wickersham Ln, Austin, TX",1,1,,30.229067,-97.720375,zillow.com/apartments/austin-tx/the-patten/5Xht4y/
1233,,UT Austin,8.24,"8001 Interstate Hwy, Austin, TX",1,1,,30.17485,-97.776184,zillow.com/apartments/austin-tx/ethos-apartments/C4S3k9/
1369,78752,UT Austin,2.99,"112 Will Davis Dr, Austin, TX",1,1,,30.327608,-97.713844,zillow.com/apartments/austin-tx/revolve-atx/CGCBsH/
1319,78754,UT Austin,8.46,"12201 Dessau Rd, Austin, TX",1,1,,30.384438,-97.647415,zillow.com/apartments/austin-tx/lucent/9LT832/
1591,78745,UT Austin,5.17,"4323 S Congress Ave, Austin, TX",1,1,,30.21825,-97.76423,zillow.com/b/st.-elmo-apartments-austin-tx-9T5fgB/
1203,78758,UT Austin,5.97,"1070 Mearns Meadow Blvd, Austin, TX",1,1,,30.369415,-97.69965,zillow.com/apartments/austin-tx/the-vibe/5XhsyJ/
