Price,Zip,My university,Distance to the university,Address,Bathrooms,Bedrooms,LivingArea,Rent_estimate,DetailURL
2260,78723,UT Austin,1.9 miles,"4646 Mueller Blvd, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/sync-at-mueller/5YtGGY/
1349,78741,UT Austin,4.2 miles,"Burl North, 2507 Burleson Rd #215, Austin, TX 78741",2,2,850,,zillow.com/apartments/austin-tx/burl-north/5Xhsyr/
1495,78704,UT Austin,4.68 miles,"3737 Keats Dr, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/creek-village/5Xhsyv/
2015,78731,UT Austin,2.36 miles,"4330 Bull Creek Rd, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/maa-west-austin/5Xht7Z/
1785,78758,UT Austin,4.71 miles,"8220 Research Blvd, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/park-at-crestview/5Xht6h/
1599,78745,UT Austin,7.02 miles,"744 W William Cannon Dr, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/the-dexter/5Xhsyk/
1489,78741,UT Austin,3.79 miles,"2425 E Riverside Dr, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/ovation-apartments/5Xht5V/
1512,78729,UT Austin,11.44 miles,"12800 Turtle Rock Rd, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/villages-at-turtle-rock/5XhtF8/
1759,78747,UT Austin,9.66 miles,"2001 E Slaughter Ln, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/nexus-at-goodnight-ranch/Bh7tcb/
1591,78681,UT Austin,13.36 miles,"2800 La Frontera Blvd, Round Rock, TX",2,2,,,zillow.com/apartments/round-rock-tx/enclave-at-la-frontera/5Xht49/
1572,78745,UT Austin,9.25 miles,"7500 S Interstate Highway 35 Frontage Rd, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/ladera-apartment-homes/BsJSfs/
2291,78758,UT Austin,7.62 miles,"3201 Esperanza Xing, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/the-kenzie-at-the-domain/5g4RfH/
1889,78735,UT Austin,5.8 miles,"4424 Gaines Ranch Loop, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/camden-gaines-ranch/5Xhsx2/
7140,78701,UT Austin,1.75 miles,"242 W 2nd St FLOOR 11-ID37, Austin, TX 78701",2,2,1316,,zillow.com/homedetails/242-W-2nd-St-FLOOR-11-ID37-Austin-TX-78701/2056139118_zpid/
1670,78759,UT Austin,7.48 miles,"10300 Jollyville Rd, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/hardrock-canyon/5Xht4Y/
1981,78735,UT Austin,7.16 miles,"5604 Sw Pkwy, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/the-preserve-at-travis-creek/BntPvT/
1609,78723,UT Austin,2.4 miles,"1200 Broadmoor Dr, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/the-lowell-at-mueller/5Xht39/
1467,,UT Austin,12.53 miles,"15701 Farm To Market Rd, Austin, TX",2,2,,,zillow.com/b/the-james-on-grand-avenue-austin-tx-C4dxFT/
1468,78653,UT Austin,9.79 miles,"The Element, 5724 E Howard Ln, Manor, TX 78653",2,2,902,1634,zillow.com/b/the-element-manor-tx-C4YPvk/
1478,78724,UT Austin,7.64 miles,"9000 Decker Ln, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/residences-at-decker/5Yw5FW/
1485,78748,UT Austin,10.29 miles,"10801 Old Manchaca Rd, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/saddle-creek-and-the-cove/5Xht9t/
1476,78724,UT Austin,9.39 miles,"The Beckett, 14011 Fm 969 Rd, Austin, TX 78724",2,2,919,,zillow.com/b/the-beckett-austin-tx-CbXnGZ/
1550,78748,UT Austin,9.66 miles,"2505 West Slaughter Lane - A, 2505 W Slaughter Ln, Austin, TX 78748",2,2,950,1686,zillow.com/b/2505-west-slaughter-lane-a-austin-tx-5YsbLn/
1895,78744,UT Austin,9.26 miles,"8001 E William Cannon Dr, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/ariza-easton-park/C8BcbN/
1998,78745,UT Austin,8.12 miles,"135 Foremost Dr, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/lenox-soco/BMFKZK/
3073,78704,UT Austin,2.29 miles,"1717 Toomey Rd, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/coldwater/5Yy9Q6/
1967,78704,UT Austin,4.54 miles,"3715 S 1st St, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/tree/5Xkk7h/
1999,78757,UT Austin,3.76 miles,"801 Sugaree Ave, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/crestview-commons-apartments/BKB5MN/
2040,78750,UT Austin,9.03 miles,"9415 McNeil Dr, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/promesa/5Xht73/
2090,78758,UT Austin,7.44 miles,"11011 Domain Dr, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/villages-at-domain/5XhtFS/
2060,78744,UT Austin,7.63 miles,"7301 S Interstate Highway 35 Svrd Nb, Austin, TX",2,2,,,zillow.com/b/the-bennett-austin-tx-CbCdZW/
1590,78747,UT Austin,11.88 miles,"12234 Heatherly Dr, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/water-oak/C24cTp/
4395,78701,UT Austin,1.56 miles,"501 Brazos St, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/sienna-at-the-thompson/9LRMhn/
1443,78728,UT Austin,11.96 miles,"3400 Shoreline Dr, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/parkside-crossing/5Xht9w/
3009,78704,UT Austin,4.63 miles,"3607 S Lamar Blvd, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/groves-south-lamar/9T5YtH/
1761,78726,UT Austin,11.02 miles,"8225 N Fm 620, Austin, TX",2,2,,,zillow.com/b/abelia-flats-austin-tx-5Xhstm/
4266,78701,UT Austin,1.73 miles,"215 Brazos St, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/hanover-brazos-street/BtgB6D/
1475,78745,UT Austin,7.0 miles,"412 E William Cannon Dr, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/willow-brook-apartments/5XhtGF/
1595,78745,UT Austin,6.59 miles,"6020 S 1st St, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/bridge-at-turtle-creek/9T5fxN/
2025,78745,UT Austin,8.2 miles,"8100 S Congress Ave, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/the-martingale/9tk3Td/
1389,78758,UT Austin,7.66 miles,"11700 Metric Blvd, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/barstow/5Xht4d/
1554,78744,UT Austin,6.45 miles,"1800 E Stassney Ln, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/stassney-at-soco/5Xht9z/
1921,78759,UT Austin,7.32 miles,"9617 Great Hills Trl, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/arboretum-oaks/5XhsxJ/
1650,78731,UT Austin,4.43 miles,"3600 N Hills Dr, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/peaks-%40-nw-hills/5XhsyD/
1799,78729,UT Austin,12.0 miles,"8100 Anderson Mill Rd, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/the-royce-at-8100/65W4F9/
1347,78727,UT Austin,10.51 miles,"6511 Melrose Trl, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/the-robinson-on-melrose/5Xht34/
2075,78758,UT Austin,6.77 miles,"10301 Burnet Rd, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/windsor-burnet/9LTFhj/
1424,78759,UT Austin,8.59 miles,"3220 Duval Rd, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/milo/5XhswB/
1624,78745,UT Austin,7.32 miles,"3014 W William Cannon Dr, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/highlands-hill-country/5Xht5c/
3390,78701,UT Austin,2.28 miles,"43 Rainey St, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/windsor-on-the-lake/5XhtGq/
1610,78703,UT Austin,2.1 miles,"2606 Enfield Rd, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/enfield-court-apartments/5XkY9b/
1734,78746,UT Austin,4.19 miles,"2800 Bartons Bluff Ln, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/barton-creek-landing/5Xhsxt/
1697,78732,UT Austin,10.73 miles,"4500 Steiner Ranch Blvd, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/meritage-at-steiner-ranch/5Xht7F/
3019,78701,UT Austin,2.0 miles,"91 Rainey St, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/camden-rainey-street/5jCZfF/
2595,78756,UT Austin,1.74 miles,"4419 1/2 Bellvue Ave, Austin, TX 78756",2,2,1334,3881,zillow.com/homedetails/4419-1-2-Bellvue-Ave-Austin-TX-78756/2062658709_zpid/
2835,78702,UT Austin,2.53 miles,"1401 Art Dilly Dr, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/the-weaver/BmK5VT/
2212,78751,UT Austin,2.48 miles,"5608 Avenue F, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/west-koenig-flats/65YzdY/
1638,78717,UT Austin,13.31 miles,"13535 Lyndhurst St, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/the-michael-at-presidio/9md7pG/
1563,78741,UT Austin,5.15 miles,"2405 Montopolis Dr, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/the-mont/BPNRhh/
1809,78723,UT Austin,3.76 miles,"5521 Springdale Rd, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/the-banks-of-springdale/BPWJ4w/
1555,78754,UT Austin,5.11 miles,"8054 Exchange Dr, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/creekstone/5Xht9Q/
2250,78753,UT Austin,8.12 miles,"12101 N Lamar Blvd, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/the-langdon-at-walnut-park/9Vt4Yc/
1610,78758,UT Austin,8.77 miles,"Henry Heights, 12330 Metric Blvd APT 7108, Austin, TX 78758",2,2,970,1804,zillow.com/apartments/austin-tx/henry-heights/5XhtFT/
1910,78752,UT Austin,2.78 miles,"609 Clayton Ln, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/ella-parkside/BChKYs/
1426,78727,UT Austin,10.1 miles,"13021 Legendary Dr, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/villas-at-stone-oak-ranch/5XhtFf/
2800,78702,UT Austin,2.67 miles,"2709 E 5th St #2306, Austin, TX 78702",2,2,1204,2709,zillow.com/homedetails/2709-E-5th-St-2306-Austin-TX-78702/338405435_zpid/
1558,78741,UT Austin,3.49 miles,"1616 Royal Crest Dr, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/jewel-apartment-homes/5XhtDG/
1555,78704,UT Austin,3.58 miles,"1221 Algarita Ave, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/cascade-apartments/5XhsxS/
1800,78727,UT Austin,8.93 miles,"1310 W Parmer Ln APT 2201, Austin, TX 78727",2,2,1089,1379,zillow.com/homedetails/1310-W-Parmer-Ln-APT-2201-Austin-TX-78727/2091603594_zpid/
1850,78717,UT Austin,13.31 miles,"13500 Lyndhurst St, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/amli-lakeline/BMFmty/
2475,78705,UT Austin,0.56 miles,"30th Street Townhomes, 501 W 30th St #A1A, Austin, TX 78705",2,2,1095,,zillow.com/b/30th-street-townhomes-austin-tx-63bV4g/
1395,78704,UT Austin,5.0 miles,"4100 Victory Dr, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/tramor-at-victory-place/5XhtC7/
2363,78704,UT Austin,2.52 miles,"1007 S Congress Ave, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/muse-at-soco/5Xht3N/
1599,78749,UT Austin,9.34 miles,"4825 Davis Ln, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/camden-stoneleigh/5XhsxK/
1460,78752,UT Austin,3.94 miles,"7581 Chevy Chase Dr, Austin, TX",2,2,,,zillow.com/apartments/austin-tx/chevy-chase/5Xht3C/
1642,78744,UT Austin,8.24 miles,"Ethos Apartments, 8001 Interstate Highway 837, Austin, TX 78744",2,2,1136,,zillow.com/b/bridge-at-monarch-bluffs-austin-tx-CbH66c/
1486,78744,UT Austin,8.24 miles,"Ethos Apartments, 8001 Interstate Highway 1427, Austin, TX 78744",2,2,986,1599,zillow.com/b/bridge-at-monarch-bluffs-austin-tx-Cb3T6z/
1551,78744,UT Austin,8.24 miles,"Ethos Apartments, 8001 Interstate Highway 1728, Austin, TX 78744",2,2,986,,zillow.com/b/bridge-at-monarch-bluffs-austin-tx-CbD3mZ/
