Price,Zip,My university,Distance to the university,Address,Bathrooms,Bedrooms,LivingArea,Rent_estimate,DetailURL,pred_price
1420,78731,UT Austin,6.37,"Pointe 360, 6804 N Capital Of Texas Hwy APT 627, Austin, TX 78731",1,1,753,1435.0,zillow.com/homedetails/6804-N-Capital-Of-Texas-Hwy-APT-627-Austin-TX-78731/251033567_zpid/,1537.732142857143
1380,78731,UT Austin,6.37,"Pointe 360, 6804 N Capital Of Texas Hwy APT 121, Austin, TX 78731",1,1,785,1450.0,zillow.com/homedetails/6804-N-Capital-Of-Texas-Hwy-APT-121-Austin-TX-78731/251032174_zpid/,1426.2477272727272
1380,78731,UT Austin,6.37,"Pointe 360, 6804 N Capital Of Texas Hwy APT 728, Austin, TX 78731",1,1,785,1429.0,zillow.com/homedetails/6804-N-Capital-Of-Texas-Hwy-APT-728-Austin-TX-78731/251030581_zpid/,1426.2477272727272
1460,78724,UT Austin,6.06,"High Point Preserve, 9301 E Us Highway 290 #1414, Austin, TX 78724",1,1,660,1385.0,zillow.com/apartments/austin-tx/high-point-preserve/C5cgxZ/,1393.3728571428571
1300,78702,UT Austin,2.89,"500 Tillery St, Austin, TX 78702",1,1,510,1610.0,zillow.com/homedetails/500-Tillery-St-Austin-TX-78702/29383439_zpid/,1430.74
4029,78704,UT Austin,2.31,"1155 Barton Springs, 1155 Barton Springs Rd #413, Austin, TX 78704",1,1,873,2964.0,zillow.com/apartments/austin-tx/1155-barton-springs/B6n7qp/,3351.66
2140,78702,UT Austin,2.23,"2823 E Martin Luther King Jr Blvd #3-ID155, Austin, TX 78702",1,1,755,2493.0,zillow.com/homedetails/2823-E-Martin-Luther-King-Jr-Blvd-3-ID155-Austin-TX-78702/2060608490_zpid/,2247.56
1699,78705,UT Austin,0.63,"916 E 32nd St #103-916-10, Austin, TX 78705",1,1,787,,zillow.com/homedetails/916-E-32nd-St-103-916-10-Austin-TX-78705/2055315240_zpid/,1717.16
950,78745,UT Austin,6.1 ,"5303 Saint Georges Green, 5303 Saint Georges Grn APT B, Austin, TX 78745",1,1,616,1484.0,zillow.com/b/5303-saint-georges-green-austin-tx-5jCZmT/,1023.46
2510,78723,UT Austin,1.98,"1830 Simond Ave FLOOR 3-ID34, Austin, TX 78723",1,1,730,,zillow.com/homedetails/1830-Simond-Ave-FLOOR-3-ID34-Austin-TX-78723/2055330577_zpid/,1728.7766666666669
1455,78735,UT Austin,9.57,"Callista Hill Country Apartments, 8600 W Highway 71 APT 322, Austin, TX 78735",1,1,983,1679.0,zillow.com/apartments/austin-tx/8600-w-hwy-71-w/9h4rw3/,1619.3516666666665
1395,78753,UT Austin,8.37,"1015 E Yager Ln UNIT 217, Austin, TX 78753",1,1,565,1098.0,zillow.com/homedetails/1015-E-Yager-Ln-UNIT-217-Austin-TX-78753/29435536_zpid/,1380.69
999,78741,UT Austin,3.25,"Parker Heights, 1302 Parker Ln APT 115, Austin, TX 78741",1,1,614,1225.0,zillow.com/apartments/austin-tx/parker-heights/5jCZb6/,1275.16
4200,78701,UT Austin,1.63,"555 E 5th St APT 723, Austin, TX 78701",1,1,1144,3499.0,zillow.com/homedetails/555-E-5th-St-APT-723-Austin-TX-78701/64894633_zpid/,3875.55
1265,78705,UT Austin,0.55,"2818 Nueces St #103, Austin, TX 78705",1,1,550,,zillow.com/homedetails/2818-Nueces-St-103-Austin-TX-78705/2056457032_zpid/,1306.2
2090,78756,UT Austin,2.86,"1112 W Koenig Ln FLOOR 3-ID162, Austin, TX 78756",1,1,605,1551.0,zillow.com/homedetails/1112-W-Koenig-Ln-FLOOR-3-ID162-Austin-TX-78756/2060426884_zpid/,1805.29
1300,78741,UT Austin,4.79,"3207 Burleson Road, 3207 Burleson Rd APT 1, Austin, TX 78741",1,1,400,,zillow.com/b/3207-burleson-road-austin-tx-9tjdJz/,1280.29
1675,78701,UT Austin,0.66,"Greenwood Towers 302 N/M, 1800 Lavaca St, Austin, TX 78701",1,1,608,1530.0,zillow.com/homedetails/1800-Lavaca-St-Austin-TX-78701/2077190839_zpid/,1618.2503571428572
1125,78705,UT Austin,0.46,"Mark Embers, 3106 Speedway Mkea #102, Austin, TX 78705",1,1,550,,zillow.com/b/mark-embers-austin-tx-C6b2qJ/,1181.36
2450,78702,UT Austin,2.36,"1512 Holly St FLOOR 2-ID150, Austin, TX 78702",1,1,688,2400.0,zillow.com/homedetails/1512-Holly-St-FLOOR-2-ID150-Austin-TX-78702/2060624944_zpid/,2501.07
2500,78703,UT Austin,1.82,"Windsor Gardens, 3010 Windsor Rd, Austin, TX 78703",1,1,673,7822.0,zillow.com/homedetails/3010-Windsor-Rd-Austin-TX-78703/29333670_zpid/,2260.22
999,78705,UT Austin,0.35,"Chateau Duval, 3106 Duval St APT 102, Austin, TX 78705",1,1,616,1550.0,zillow.com/b/chateau-duval-austin-tx-5Xpb5j/,1145.04
1049,78705,UT Austin,0.46,"2910 Medical Arts St #101B, Austin, TX 78705",1,1,450,1394.0,zillow.com/homedetails/2910-Medical-Arts-St-101B-Austin-TX-78705/2077550689_zpid/,1083.22
1069,78759,UT Austin,6.28,"The Arbors at Tallwood, 8810 Tallwood Dr #208, Austin, TX 78759",1,1,700,1507.0,zillow.com/apartments/austin-tx/the-arbors-at-tallwood/5XhsyK/,1223.2133333333334
1234,78758,UT Austin,6.2 ,"Ascent at North Burnet, 1735 Rutland Dr #232, Austin, TX 78758",1,1,550,,zillow.com/apartments/austin-tx/ascent-at-north-burnet/5XhtBh/,1204.82
2590,78721,UT Austin,4.14,"1912 Smith Rd FLOOR 3-ID148, Austin, TX 78721",1,1,837,1917.0,zillow.com/homedetails/1912-Smith-Rd-FLOOR-3-ID148-Austin-TX-78721/2057939111_zpid/,2373.43
1350,78705,UT Austin,0.88,"303 West 35th #204, 303 W 35th St #1, Austin, TX 78705",1,1,600,1394.0,zillow.com/b/hyde-park-terrace-condominiums-austin-tx-5YjRsf/,1560.68
1990,78722,UT Austin,1.75,"1313 Bentwood Rd #B, Austin, TX 78722",1,1,800,1849.0,zillow.com/homedetails/1313-Bentwood-Rd-B-Austin-TX-78722/29400852_zpid/,1933.55
2400,78702,UT Austin,3.48,"817 Airport Blvd FLOOR 4-ID94, Austin, TX 78702",1,1,739,1863.0,zillow.com/homedetails/817-Airport-Blvd-FLOOR-4-ID94-Austin-TX-78702/2060224191_zpid/,2294.94
2450,78758,UT Austin,7.88,"11601 Century Oaks Ter FLOOR 1-ID39, Austin, TX 78758",1,1,718,1810.0,zillow.com/homedetails/11601-Century-Oaks-Ter-FLOOR-1-ID39-Austin-TX-78758/2063443471_zpid/,2368.83
