Price,Zip,My university,Distance to the university (in miles),Address,Bathrooms,Bedrooms,LivingArea,Latitude,Longitude,DetailURL
2450,78702,UT Austin,2.36,"1512 Holly St FLOOR 2-ID150, Austin, TX 78702",1,1,688,30.25524,-97.73056,zillow.com/homedetails/1512-Holly-St-FLOOR-2-ID150-Austin-TX-78702/2060624944_zpid/
2500,78703,UT Austin,1.82,"Windsor Gardens, 3010 Windsor Rd, Austin, TX 78703",1,1,673,30.295279,-97.7662,zillow.com/homedetails/3010-Windsor-Rd-Austin-TX-78703/29333670_zpid/
999,78705,UT Austin,0.35,"Chateau Duval, 3106 Duval St APT 102, Austin, TX 78705",1,1,616,30.293505,-97.733505,zillow.com/b/chateau-duval-austin-tx-5Xpb5j/
1049,78705,UT Austin,0.46,"2910 Medical Arts St #101B, Austin, TX 78705",1,1,450,30.28955,-97.72887,zillow.com/homedetails/2910-Medical-Arts-St-101B-Austin-TX-78705/2077550689_zpid/
1069,78759,UT Austin,6.28,"The Arbors at Tallwood, 8810 Tallwood Dr #208, Austin, TX 78759",1,1,700,30.37983,-97.7424,zillow.com/apartments/austin-tx/the-arbors-at-tallwood/5XhsyK/
2590,78721,UT Austin,4.14,"1912 Smith Rd FLOOR 3-ID148, Austin, TX 78721",1,1,837,30.26003,-97.67582,zillow.com/homedetails/1912-Smith-Rd-FLOOR-3-ID148-Austin-TX-78721/2057939111_zpid/
1350,78705,UT Austin,0.88,"303 West 35th #204, 303 W 35th St #1, Austin, TX 78705",1,1,600,30.301851,-97.736946,zillow.com/b/hyde-park-terrace-condominiums-austin-tx-5YjRsf/
1990,78722,UT Austin,1.75,"1313 Bentwood Rd #B, Austin, TX 78722",1,1,800,30.301819,-97.711075,zillow.com/homedetails/1313-Bentwood-Rd-B-Austin-TX-78722/29400852_zpid/
2400,78702,UT Austin,3.48,"817 Airport Blvd FLOOR 4-ID94, Austin, TX 78702",1,1,739,30.256355,-97.69208,zillow.com/homedetails/817-Airport-Blvd-FLOOR-4-ID94-Austin-TX-78702/2060224191_zpid/
2450,78758,UT Austin,7.88,"11601 Century Oaks Ter FLOOR 1-ID39, Austin, TX 78758",1,1,718,30.402645,-97.72529,zillow.com/homedetails/11601-Century-Oaks-Ter-FLOOR-1-ID39-Austin-TX-78758/2063443471_zpid/
1250,78756,UT Austin,2.49,"The Rosedale, 2211 Loop 15031118, Austin, TX 78756",1,1,625,30.324932,-97.740974,zillow.com/homedetails/2211-Loop-15031118-Austin-TX-78756/2056603173_zpid/
2330,78759,UT Austin,6.87,"9605 Research Blvd FLOOR 1-ID196, Austin, TX 78759",1,1,688,30.388327,-97.74302,zillow.com/homedetails/9605-Research-Blvd-FLOOR-1-ID196-Austin-TX-78759/2056491920_zpid/
2950,78704,UT Austin,2.27,"1623 Toomey Rd FLOOR 1-ID189, Austin, TX 78704",1,1,761,30.264206,-97.76132,zillow.com/homedetails/1623-Toomey-Rd-FLOOR-1-ID189-Austin-TX-78704/2057133225_zpid/
1200,78705,UT Austin,0.81,"404 W 35th St APT 204, Austin, TX 78705",1,1,538,30.300785,-97.7376,zillow.com/homedetails/404-W-35th-St-APT-204-Austin-TX-78705/2075530306_zpid/
1540,78723,UT Austin,2.98,"Mueller Crossing, 5020 Manor Rd #A-101, Austin, TX 78723",1,1,850,30.297752,-97.68752,zillow.com/apartments/austin-tx/mueller-crossing/5YyDt9/
1450,78703,UT Austin,2.1,"Tarrytown Flats, 1315 Norwalk Ln APT 114, Austin, TX 78703",1,1,789,30.28901,-97.77169,zillow.com/b/tarrytown-flats-austin-tx-5Z5564/
1149,78741,UT Austin,3.77,"Easton Hills, 1900 Burton Dr APT 134, Austin, TX 78741",1,1,726,30.234657,-97.73178,zillow.com/apartments/austin-tx/easton-hills/5XhtD7/
1100,78752,UT Austin,4.0,"7603 Carver Ave #1-C, Austin, TX 78752",1,1,480,30.335375,-97.696335,zillow.com/homedetails/7603-Carver-Ave-1-C-Austin-TX-78752/2055536910_zpid/
1390,78704,UT Austin,3.59,"2411 S 5th St BUILDING 5, Austin, TX 78704",1,1,718,30.243017,-97.76431,zillow.com/homedetails/2411-S-5th-St-BUILDING-5-Austin-TX-78704/2065758452_zpid/
2702,78704,UT Austin,2.24,"Cole Apartments, 300 S Lamar Blvd #203, Austin, TX 78704",1,1,887,30.262854,-97.75856,zillow.com/apartments/austin-tx/cole-apartments/5XhswF/
2200,78702,UT Austin,2.22,"2124 E 6th St UNIT 302, Austin, TX 78702",1,1,747,30.260593,-97.719215,zillow.com/homedetails/2124-E-6th-St-UNIT-302-Austin-TX-78702/80106472_zpid/
1875,78704,UT Austin,2.46,"802 S 1st St APT 118, Austin, TX 78704",1,1,638,30.25596,-97.75171,zillow.com/homedetails/802-S-1st-St-APT-118-Austin-TX-78704/62604602_zpid/
1500,78704,UT Austin,3.34,"Brackenridge St 2102, 2102 Brackenridge St #A, Austin, TX 78704",1,1,600,30.24219,-97.750145,zillow.com/b/brackenridge-st-2102-austin-tx-5yXqBb/
1340,78751,UT Austin,1.9,"4912 Avenue G, 4912 Avenue G UNIT B, Austin, TX 78751",1,1,600,30.313828,-97.72278,zillow.com/b/4912-avenue-g-austin-tx-5YbXsM/
1515,78756,UT Austin,2.57,"Brentwood Townhomes, 5506 Grover Ave #L-148, Austin, TX 78756",1,1,800,30.326105,-97.73274,zillow.com/apartments/austin-tx/brentwood-townhomes/5XrBLg/
1250,78756,UT Austin,2.49,"The Rosedale, 2211 Loop 14936974, Austin, TX 78756",1,1,625,30.324932,-97.740974,zillow.com/homedetails/2211-Loop-14936974-Austin-TX-78756/2057425716_zpid/
